========== REACTION WHEEL SPEEDS AND CONTROL SIGNALS ==========
X [rad/s]	Y [rad/s]	Z [rad/s]	X [%]	Y [%]	Z [%]	X [Brake]	Y [Brake]	Z [Brake]
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
